116,2147483647,2147483647,2147483647,96,94,92,2147483647,84,82,80,
114,2147483647,2147483647,100,98,2147483647,90,88,86,2147483647,78,
112,2147483647,104,102,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,76,
110,108,106,2147483647,62,64,66,68,70,72,74,
112,2147483647,2147483647,58,60,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,
114,116,2147483647,56,2147483647,0,2,4,6,8,10,
2147483647,118,2147483647,54,52,2147483647,2147483647,2147483647,2147483647,2147483647,12,
2147483647,120,122,2147483647,50,2147483647,34,32,30,2147483647,14,
2147483647,2147483647,124,2147483647,48,2147483647,36,2147483647,28,2147483647,16,
2147483647,2147483647,126,2147483647,46,2147483647,38,2147483647,26,2147483647,18,
132,130,128,2147483647,44,42,40,2147483647,24,22,20,
