2147483647,2147483647,94,92,90,2147483647,62,60,58,2147483647,2147483647,28,26,24,2147483647,
2147483647,2147483647,96,2147483647,88,2147483647,64,2147483647,56,2147483647,32,30,2147483647,22,2147483647,
2147483647,2147483647,98,2147483647,86,2147483647,66,2147483647,54,2147483647,34,2147483647,18,20,2147483647,
116,2147483647,100,2147483647,84,2147483647,68,2147483647,52,2147483647,36,2147483647,16,2147483647,0,
114,2147483647,102,2147483647,82,2147483647,70,2147483647,50,2147483647,38,2147483647,14,2147483647,2,
112,2147483647,104,2147483647,80,2147483647,72,2147483647,48,2147483647,40,2147483647,12,2147483647,4,
110,108,106,2147483647,78,76,74,2147483647,46,44,42,2147483647,10,8,6,


2147483647,2147483647,94,92,90,2147483647,62,60,58,2147483647,2147483647,28,26,24,2147483647,
2147483647,2147483647,96,2147483647,88,2147483647,64,2147483647,56,2147483647,32,30,2147483647,22,2147483647,
2147483647,2147483647,98,2147483647,86,2147483647,66,2147483647,54,2147483647,34,2147483647,18,20,2147483647,
116,2147483647,100,2147483647,84,2147483647,68,2147483647,52,2147483647,36,2147483647,16,2147483647,0,
114,2147483647,102,2147483647,82,2147483647,70,2147483647,50,2147483647,38,2147483647,14,2147483647,2,
112,2147483647,104,2147483647,80,2147483647,72,2147483647,48,2147483647,40,2147483647,12,2147483647,4,
110,108,106,2147483647,78,76,74,2147483647,46,44,42,2147483647,10,8,6,
